accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.5932890772819519,0.6173948049545288,1.0063087940216064,0.8289085626602173,0.8806277513504028,0.5385498404502869,0.0010000000474974513
0.7168141603469849,0.7661754488945007,0.7363561987876892,0.8333333134651184,0.889065146446228,0.4740791916847229,0.0010000000474974513
0.76106196641922,0.8195469379425049,0.6902503371238708,0.8348082304000854,0.8881036043167114,0.44309452176094055,0.0010000000474974513
0.7813422083854675,0.8407900929450989,0.6734068393707275,0.8407079577445984,0.8877576589584351,0.42716240882873535,0.0010000000474974513
0.7953540086746216,0.8627861142158508,0.6360591650009155,0.8333333134651184,0.8851014971733093,0.4248405992984772,0.0010000000474974513
0.8067846894264221,0.8718544840812683,0.6280742883682251,0.8392330408096313,0.8897547125816345,0.41950109601020813,0.0010000000474974513
0.8145280480384827,0.8794816732406616,0.6050106883049011,0.8348082304000854,0.887120246887207,0.4235692322254181,0.0010000000474974513
0.8237463235855103,0.8896181583404541,0.5827072262763977,0.8303834795951843,0.884829580783844,0.4195443093776703,0.0010000000474974513
0.8219026327133179,0.8926795721054077,0.5877068638801575,0.8289085626602173,0.8867177963256836,0.42367300391197205,0.0010000000474974513
0.8285398483276367,0.8921284675598145,0.5866031050682068,0.8333333134651184,0.8850395083427429,0.42463648319244385,0.0010000000474974513
0.8281710743904114,0.8937451839447021,0.5826857089996338,0.8289085626602173,0.8793366551399231,0.4342811107635498,0.0010000000474974513
0.8344395160675049,0.899148166179657,0.5681556463241577,0.8377581238746643,0.87632155418396,0.4443264305591583,0.0010000000474974513
0.8373894095420837,0.8992970585823059,0.5716152191162109,0.8333333134651184,0.8788276314735413,0.43594783544540405,0.0010000000474974513
0.8318583965301514,0.9057646989822388,0.5541477203369141,0.8333333134651184,0.8720566630363464,0.4465332627296448,0.0010000000474974513
0.8384955525398254,0.9068674445152283,0.5511177778244019,0.8303834795951843,0.8710342645645142,0.4549250900745392,0.0010000000474974513
0.8344395160675049,0.9026811122894287,0.5627080202102661,0.8303834795951843,0.8772547841072083,0.439121812582016,0.0010000000474974513
0.8348082304000854,0.9057509303092957,0.5557438135147095,0.8318583965301514,0.8734434843063354,0.44708457589149475,0.0005000000237487257
0.8340708017349243,0.9067378044128418,0.5503272414207458,0.8318583965301514,0.8722981810569763,0.45100101828575134,0.0005000000237487257
0.8325958847999573,0.9071314930915833,0.5491638779640198,0.8333333134651184,0.8707122802734375,0.456664502620697,0.0005000000237487257
0.8429203629493713,0.9132575988769531,0.5360491275787354,0.8333333134651184,0.8720479607582092,0.4496796727180481,0.0005000000237487257
0.844763994216919,0.9139835238456726,0.5363571047782898,0.8244837522506714,0.874415934085846,0.4436546862125397,0.0005000000237487257
0.8491888046264648,0.9174685478210449,0.5249759554862976,0.8303834795951843,0.8750532865524292,0.4416007995605469,0.0005000000237487257
0.8495575189590454,0.9151012301445007,0.5298727750778198,0.8289085626602173,0.8748934268951416,0.4412016272544861,0.0005000000237487257
0.8373894095420837,0.9088712334632874,0.5485100150108337,0.8318583965301514,0.87445068359375,0.4437551200389862,0.0005000000237487257
0.8469763994216919,0.9125486612319946,0.5333859324455261,0.8348082304000854,0.8738057613372803,0.44457000494003296,0.0005000000237487257
0.8488200306892395,0.9186302423477173,0.5233757495880127,0.8303834795951843,0.8724047541618347,0.4460681080818176,0.0005000000237487257
0.8484513163566589,0.914451003074646,0.5306165814399719,0.8333333134651184,0.873842716217041,0.44352325797080994,0.0002500000118743628
0.8554572463035583,0.9223895072937012,0.5117006897926331,0.8333333134651184,0.8742668628692627,0.44315528869628906,0.0002500000118743628
0.8580383658409119,0.9238595962524414,0.5086218118667603,0.8333333134651184,0.8720762729644775,0.4479440450668335,0.0002500000118743628
0.8491888046264648,0.9233407974243164,0.508804440498352,0.8333333134651184,0.8704141974449158,0.45195335149765015,0.0002500000118743628
0.8495575189590454,0.9235764741897583,0.5045112371444702,0.8318583965301514,0.870089054107666,0.452883780002594,0.0002500000118743628
0.8628318309783936,0.9261878728866577,0.5012645721435547,0.8333333134651184,0.8709320425987244,0.45075908303260803,0.0002500000118743628
0.8488200306892395,0.9228655695915222,0.5085174441337585,0.8303834795951843,0.8724144697189331,0.44716957211494446,0.0002500000118743628
0.8517699241638184,0.9244215488433838,0.5020015835762024,0.8303834795951843,0.8723003268241882,0.4489564597606659,0.0002500000118743628
0.8543510437011719,0.9272526502609253,0.49662885069847107,0.8348082304000854,0.8709570169448853,0.4497012197971344,0.0002500000118743628
0.855088472366333,0.9262234568595886,0.4972061216831207,0.8289085626602173,0.8718565702438354,0.4491531550884247,0.0002500000118743628
0.8455014824867249,0.9196988344192505,0.516226589679718,0.8274336457252502,0.8710874915122986,0.45028194785118103,0.0001250000059371814
0.858775794506073,0.9276301860809326,0.49844300746917725,0.8303834795951843,0.871320366859436,0.4502578675746918,0.0001250000059371814
